Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,PLAYOFFS,YEAR,Range_Factor
Pittsburgh Pirates,44,3.68,0.679,162,1458,994,13407,6459,4469,1868,122,177,0.981,-11,0,2015,39.11728395
San Diego Padres,46,4.51,0.683,162,1458,1070,12963,5979,4321,1566,92,138,0.985,-20,0,2015,36.33950617
Seattle Mariners,51,4.48,0.688,162,1458,1059,13167,6168,4389,1685,94,155,0.985,-31,0,2015,37.49382716
San Francisco Giants,48,3.87,0.706,162,1458,1155,12999,6085,4333,1674,78,145,0.987,41,1,2015,37.08024691
St. Louis Cardinals,45,3.24,0.688,162,1458,1014,13182,6107,4394,1617,96,159,0.984,-10,0,2015,37.10493827
Tampa Bay Rays,51,3.96,0.701,162,1458,1027,13080,5863,4360,1408,95,118,0.984,12,0,2015,35.60493827
Texas Rangers,57,4.52,0.687,162,1458,1094,12984,6142,4328,1695,119,169,0.981,43,0,2015,37.17901235
Toronto Blue Jays,52,4.14,0.708,162,1458,1117,12969,6003,4323,1592,88,145,0.985,57,0,2015,36.51234568
Washington Nationals,44,3.92,0.685,162,1458,1166,12912,5927,4304,1533,90,125,0.985,4,1,2015,36.0308642
Arizona Diamondbacks,52,4.58,0.673,162,1458,1209,12999,6079,4333,1645,101,147,0.983,0,0,2014,36.90123457
Atlanta Braves,39,3.69,0.687,162,1458,1191,13095,5977,4365,1527,85,143,0.986,26,0,2014,36.37037037
Baltimore Orioles,43,3.66,0.706,162,1458,1124,13152,6075,4384,1604,87,156,0.986,42,0,2014,36.96296296
Boston Red Sox,55,4.41,0.685,162,1458,1136,13191,6099,4397,1610,92,155,0.985,6,1,2014,37.08024691
Chicago Cubs,48,4.36,0.68,162,1458,1120,13170,6161,4390,1668,103,137,0.983,-14,1,2014,37.39506173
Chicago White Sox,44,4.68,0.678,162,1458,1144,12969,6112,4323,1682,107,170,0.982,-59,0,2014,37.06790123
Cincinnati Reds,45,3.78,0.712,162,1458,1145,13014,5998,4338,1588,72,120,0.988,67,0,2014,36.58024691
Cleveland Indians,45,4.03,0.673,162,1458,1153,13215,6120,4405,1599,116,139,0.981,-45,1,2014,37.0617284
Colorado Rockies,49,5.05,0.678,162,1458,1109,12879,6207,4293,1808,106,166,0.983,39,0,2014,37.66049383
Detroit Tigers,48,4.35,0.673,162,1458,1079,13086,6001,4362,1538,101,153,0.983,-87,1,2014,36.41975309
Houston Astros,48,4.46,0.685,162,1458,1167,12948,6126,4316,1704,106,151,0.983,-45,0,2014,37.16049383
Kansas City Royals,48,3.85,0.693,162,1458,1127,13056,5968,4352,1512,104,122,0.983,31,0,2014,36.19753086
Los Angeles Angels of Anaheim,54,3.89,0.703,162,1458,1061,13344,6013,4448,1482,83,127,0.986,2,0,2014,36.60493827
Los Angeles Dodgers,49,3.81,0.69,162,1458,1074,13182,6208,4394,1707,107,145,0.983,6,0,2014,37.66049383
Miami Marlins,44,4.16,0.675,162,1458,1168,13119,6170,4373,1700,97,154,0.984,-18,0,2014,37.48765432
Milwaukee Brewers,40,4.06,0.696,162,1458,1110,13119,6074,4373,1602,99,130,0.984,13,1,2014,36.88271605
Minnesota Twins,48,4.8,0.672,162,1458,1155,12915,5981,4305,1579,97,136,0.984,-58,1,2014,36.32098765
New York Mets,45,3.81,0.688,162,1458,1137,13173,6112,4391,1617,104,158,0.983,-12,1,2014,37.08641975
New York Yankees,58,4.1,0.687,162,1458,1120,13077,5925,4359,1474,92,107,0.984,-14,0,2014,36.00617284
Oakland Athletics,43,3.53,0.71,162,1458,1048,13170,6135,4390,1634,111,150,0.982,20,1,2014,37.18518519
Philadelphia Phillies,49,4.24,0.693,162,1458,1154,13215,6161,4405,1673,83,133,0.987,-7,0,2014,37.51851852
Pittsburgh Pirates,44,3.9,0.694,162,1458,1043,13107,6316,4369,1838,109,148,0.983,34,0,2014,38.31481481
San Diego Padres,51,3.56,0.695,162,1458,1039,12948,5977,4316,1560,101,124,0.983,29,0,2014,36.27160494
Seattle Mariners,44,3.42,0.712,162,1458,1136,13068,6046,4356,1608,82,139,0.986,33,0,2014,36.81481481
San Francisco Giants,46,3.79,0.703,162,1458,1054,13041,6146,4347,1699,100,155,0.984,46,0,2014,37.32098765
St. Louis Cardinals,45,3.72,0.701,162,1458,1094,13038,6051,4346,1617,88,145,0.985,35,0,2014,36.80864198
Tampa Bay Rays,41,3.86,0.7,162,1458,1108,13173,5788,4391,1309,88,96,0.985,-21,1,2014,35.18518519
Texas Rangers,64,4.77,0.675,162,1458,1186,12837,5798,4279,1413,106,155,0.982,-35,0,2014,35.13580247
Toronto Blue Jays,55,4.23,0.693,162,1458,995,12987,5944,4329,1528,87,130,0.985,-13,0,2014,36.15432099
Washington Nationals,40,3.43,0.691,162,1458,1167,13236,6137,4412,1625,100,139,0.984,32,0,2014,37.2654321
Arizona Diamondbacks,44,4.29,0.697,162,1458,1161,13455,6293,4485,1733,75,135,0.988,38,0,2013,38.38271605
Atlanta Braves,43,3.38,0.7,162,1458,1091,13053,6116,4351,1680,85,141,0.986,62,0,2013,37.22839506
Baltimore Orioles,52,4.38,0.701,162,1458,1204,13077,6027,4359,1614,54,165,0.991,19,1,2013,36.87037037
Boston Red Sox,48,4.05,0.694,162,1458,1121,13086,5958,4362,1516,80,142,0.987,21,1,2013,36.28395062
Chicago Cubs,56,4.25,0.706,162,1458,1187,13032,6046,4344,1602,100,129,0.983,22,0,2013,36.7037037
Chicago White Sox,47,4.46,0.687,162,1458,1110,13095,6041,4365,1555,121,155,0.98,-64,0,2013,36.54320988
Cincinnati Reds,39,3.64,0.715,162,1458,1122,13263,6140,4421,1643,76,131,0.988,89,0,2013,37.43209877
Cleveland Indians,48,4.09,0.683,162,1458,1149,12972,5925,4324,1503,98,135,0.983,-14,1,2013,35.9691358
Colorado Rockies,43,4.69,0.674,162,1458,1152,12924,6253,4308,1855,90,162,0.986,-7,0,2013,38.04320988
Detroit Tigers,39,3.85,0.682,162,1458,1090,13164,5972,4388,1508,76,136,0.987,-53,1,2013,36.39506173
Houston Astros,50,5.23,0.679,162,1458,1124,12960,6080,4320,1635,125,168,0.979,-69,0,2013,36.75925926
Kansas City Royals,43,3.71,0.698,162,1458,1154,13035,5950,4345,1520,85,136,0.986,55,0,2013,36.2037037
Los Angeles Angels of Anaheim,49,4.55,0.683,162,1458,1135,13119,5985,4373,1500,112,135,0.981,-44,0,2013,36.25308642
Los Angeles Dodgers,49,3.59,0.692,162,1458,1058,13053,6183,4351,1723,109,160,0.982,27,0,2013,37.49382716
Miami Marlins,52,3.99,0.695,162,1458,1198,13140,6155,4380,1687,88,144,0.986,10,0,2013,37.45061728
Milwaukee Brewers,40,4.24,0.697,162,1458,1137,12984,6070,4328,1628,114,153,0.981,19,1,2013,36.7654321
Minnesota Twins,44,4.86,0.679,162,1458,1155,13053,6155,4351,1723,81,178,0.987,-43,0,2013,37.49382716
New York Mets,53,4.22,0.691,162,1458,1108,13290,6165,4430,1642,93,127,0.985,-34,0,2013,37.48148148
New York Yankees,55,4.14,0.687,162,1458,1128,13026,5955,4342,1544,69,139,0.988,-22,0,2013,36.33333333
Oakland Athletics,44,3.86,0.708,162,1458,1094,13068,5830,4356,1377,97,112,0.983,-7,1,2013,35.38888889
Philadelphia Phillies,51,4.62,0.679,162,1458,1123,12927,6020,4309,1614,97,141,0.984,-49,0,2013,36.5617284
Pittsburgh Pirates,49,3.56,0.698,162,1458,1042,13236,6442,4412,1924,106,154,0.984,18,1,2013,39.11111111
San Diego Padres,47,4.32,0.696,162,1458,1006,13095,6146,4365,1698,83,140,0.986,19,1,2013,37.42592593
Seattle Mariners,47,4.65,0.683,162,1458,1144,13185,6128,4395,1645,88,149,0.986,-53,0,2013,37.28395062
San Francisco Giants,44,4.27,0.689,162,1458,1074,13026,5986,4342,1537,107,128,0.982,39,0,2013,36.29012346
St. Louis Cardinals,44,3.68,0.691,162,1458,1031,13137,6172,4379,1718,75,177,0.988,14,0,2013,37.63580247
Tampa Bay Rays,41,3.96,0.707,163,1467,1042,13176,6044,4392,1593,59,147,0.99,13,0,2013,36.71779141
Texas Rangers,45,3.9,0.693,163,1467,1138,13170,6025,4390,1549,86,146,0.986,54,1,2013,36.43558282
Toronto Blue Jays,53,4.67,0.69,162,1458,1114,13068,6072,4356,1605,111,145,0.982,-39,0,2013,36.7962963
Washington Nationals,44,3.86,0.691,162,1458,1169,13011,5993,4337,1549,107,146,0.982,-3,1,2013,36.33333333
Arizona Diamondbacks,48,4.25,0.685,162,1458,1206,12903,6067,4301,1676,90,146,0.985,-15,0,2012,36.89506173
Atlanta Braves,41,3.7,0.703,162,1458,1194,13008,6076,4336,1654,86,147,0.986,101,1,2012,36.97530864
Baltimore Orioles,51,4.35,0.699,162,1458,1153,13347,6235,4449,1680,106,151,0.983,20,0,2012,37.83333333
Boston Red Sox,56,4.98,0.689,162,1458,1108,12987,6117,4329,1687,101,159,0.983,44,1,2012,37.13580247
Chicago Cubs,53,4.69,0.692,162,1458,1092,12723,5929,4241,1583,105,148,0.982,12,1,2012,35.95061728
Chicago White Sox,45,4.17,0.702,162,1458,1145,13011,5985,4337,1578,70,154,0.988,55,0,2012,36.51234568
Cincinnati Reds,38,3.63,0.699,162,1458,1153,13077,6050,4359,1602,89,113,0.985,23,0,2012,36.7962963
Cleveland Indians,47,5.22,0.685,162,1458,1104,12978,6087,4326,1665,96,157,0.984,-20,0,2012,36.98148148
Colorado Rockies,49,5.49,0.657,162,1458,1117,12798,6106,4266,1718,122,139,0.98,-58,0,2012,36.9382716
Detroit Tigers,46,4.14,0.678,162,1458,1088,12876,5872,4292,1481,99,127,0.983,-59,1,2012,35.63580247
Houston Astros,50,4.9,0.675,162,1458,1069,12810,6117,4270,1729,118,132,0.981,-67,1,2012,37.0308642
Kansas City Royals,45,4.6,0.673,162,1458,1217,13062,6091,4354,1624,113,171,0.981,-43,0,2012,36.90123457
Los Angeles Angels of Anaheim,43,4.31,0.708,162,1458,1101,12900,5976,4300,1578,98,141,0.984,36,0,2012,36.28395062
Los Angeles Dodgers,50,3.69,0.702,162,1458,1057,13047,6116,4349,1669,98,138,0.984,10,0,2012,37.14814815
Miami Marlins,44,4.47,0.685,162,1458,1154,12966,6074,4322,1649,103,154,0.983,2,0,2012,36.85802469
Milwaukee Brewers,46,4.52,0.672,162,1458,1079,13083,5992,4361,1532,99,133,0.983,-26,0,2012,36.37654321
Minnesota Twins,47,5.14,0.69,162,1458,1171,12948,6207,4316,1784,107,188,0.983,-20,0,2012,37.65432099
New York Mets,48,4.38,0.694,162,1458,1060,12906,5905,4302,1502,101,135,0.983,-5,0,2012,35.82716049
New York Yankees,45,4.12,0.693,162,1458,1097,13008,5882,4336,1471,75,135,0.987,-17,0,2012,35.84567901
Oakland Athletics,50,3.79,0.704,162,1458,1174,13230,6089,4410,1568,111,135,0.982,23,1,2012,36.90123457
Philadelphia Phillies,49,4.2,0.686,162,1458,1098,13062,6015,4354,1560,101,118,0.983,-27,0,2012,36.50617284
Pittsburgh Pirates,49,4.16,0.697,162,1458,1072,12900,6068,4300,1656,112,126,0.982,-20,0,2012,36.7654321
San Diego Padres,53,4.38,0.697,162,1458,1079,12912,6080,4304,1655,121,97,0.98,-32,1,2012,36.78395062
Seattle Mariners,37,4.02,0.707,162,1458,1201,13110,6012,4370,1570,72,155,0.988,1,0,2012,36.66666667
San Francisco Giants,45,4.01,0.693,162,1458,1054,13059,6107,4353,1639,115,134,0.981,-7,0,2012,36.98765432
St. Louis Cardinals,45,4,0.686,162,1458,1045,13164,6249,4388,1754,107,149,0.983,-6,0,2012,37.91358025
Tampa Bay Rays,43,3.56,0.704,162,1458,1005,13137,6134,4379,1641,114,155,0.981,-3,1,2012,37.16049383
Texas Rangers,39,4.36,0.694,162,1458,1106,12978,5907,4326,1496,85,136,0.986,9,1,2012,35.9382716
Toronto Blue Jays,54,4.84,0.694,162,1458,1156,12993,6169,4331,1737,101,167,0.984,72,0,2012,37.45679012
Arizona Diamondbacks,51,4.09,0.701,162,1458,1202,12990,6024,4330,1604,90,131,0.985,27,0,2011,36.62962963
Atlanta Braves,44,3.73,0.699,162,1458,1153,13317,6197,4439,1675,83,131,0.987,-8,0,2011,37.74074074
Baltimore Orioles,49,5.31,0.682,162,1458,1161,13020,6105,4340,1655,110,159,0.982,-56,1,2011,37.00617284
Boston Red Sox,49,4.55,0.701,162,1458,1129,13116,5990,4372,1526,92,120,0.985,11,1,2011,36.40740741
Chicago Cubs,42,4.67,0.678,162,1458,1090,12909,5996,4303,1559,134,128,0.978,-3,1,2011,36.18518519
Chicago White Sox,42,4.36,0.685,162,1458,1159,13140,6126,4380,1667,79,129,0.987,-8,0,2011,37.32716049
Cincinnati Reds,42,4.44,0.705,162,1458,1088,13209,6253,4403,1759,91,146,0.985,25,0,2011,38.03703704
Cleveland Indians,45,4.69,0.692,162,1458,1155,13080,6159,4360,1689,110,130,0.982,4,0,2011,37.33950617
Colorado Rockies,55,4.78,0.688,162,1458,1121,13029,6199,4343,1758,98,156,0.984,-30,0,2011,37.66049383
Detroit Tigers,45,4.39,0.692,162,1458,1033,12960,6062,4320,1639,103,148,0.983,-5,1,2011,36.78395062
Florida Marlins,44,4.33,0.694,162,1458,1111,13137,6025,4379,1553,93,126,0.985,-15,0,2011,36.61728395
Houston Astros,47,4.91,0.68,162,1458,1125,12915,6053,4305,1632,116,140,0.981,-2,1,2011,36.64814815
Kansas City Royals,42,4.7,0.687,162,1458,1227,13062,6149,4354,1700,95,149,0.985,-17,0,2011,37.37037037
Los Angeles Angels of Anaheim,42,3.91,0.704,162,1458,1154,13185,6211,4395,1723,93,157,0.985,37,0,2011,37.7654321
Los Angeles Dodgers,48,3.8,0.701,161,1449,1064,12888,5892,4296,1511,85,121,0.986,-4,1,2011,36.06832298
Milwaukee Brewers,46,3.94,0.694,162,1458,1086,12975,6023,4325,1587,111,130,0.982,24,0,2011,36.49382716
Minnesota Twins,44,4.96,0.677,162,1458,1182,12795,6005,4265,1621,119,153,0.98,-65,0,2011,36.33333333
New York Mets,46,4.58,0.683,162,1458,1143,13032,6157,4344,1697,116,126,0.981,-81,0,2011,37.29012346
New York Yankees,48,4.06,0.688,162,1458,1102,13125,6046,4375,1569,102,141,0.983,28,0,2011,36.69135802
Oakland Athletics,48,4.19,0.692,162,1458,1180,13029,5996,4343,1529,124,145,0.979,-33,0,2011,36.24691358
Philadelphia Phillies,42,3.27,0.703,162,1458,1188,13293,6125,4431,1620,74,135,0.988,26,1,2011,37.35185185
Pittsburgh Pirates,52,4.4,0.684,162,1458,1081,13044,6231,4348,1771,112,154,0.982,-17,0,2011,37.77160494
San Diego Padres,48,3.77,0.704,162,1458,1086,13044,6136,4348,1694,94,139,0.985,13,0,2011,37.2962963
Seattle Mariners,45,4.17,0.698,162,1458,1194,12897,6030,4299,1623,108,152,0.982,-11,0,2011,36.55555556
San Francisco Giants,43,3.57,0.701,162,1458,1008,13212,6165,4404,1657,104,127,0.983,14,0,2011,37.41358025
St. Louis Cardinals,46,4.27,0.687,162,1458,960,13158,6317,4386,1815,116,167,0.982,-5,0,2011,38.27777778
Tampa Bay Rays,40,3.79,0.724,162,1458,1102,13041,5939,4347,1519,73,138,0.988,52,0,2011,36.20987654
Texas Rangers,45,4.18,0.704,162,1458,1130,12972,5990,4324,1552,114,164,0.981,39,0,2011,36.27160494
Toronto Blue Jays,53,4.7,0.693,162,1458,1162,13128,6189,4376,1703,110,148,0.982,19,0,2011,37.52469136
Washington Nationals,43,3.99,0.697,161,1449,1098,13044,6143,4348,1691,104,145,0.983,47,1,2011,37.50931677
Arizona Diamondbacks,48,5.16,0.689,162,1458,1152,12888,5970,4296,1572,102,152,0.983,27,0,2010,36.22222222
Atlanta Braves,43,3.88,0.69,162,1458,1057,12954,6214,4318,1770,126,166,0.98,23,0,2010,37.58024691
Baltimore Orioles,45,4.85,0.69,162,1458,1154,12927,5996,4309,1582,105,141,0.982,-10,1,2010,36.36419753
Boston Red Sox,53,4.59,0.691,162,1458,1045,13110,6069,4370,1588,111,132,0.982,30,1,2010,36.77777778
Chicago Cubs,44,4.73,0.681,162,1458,1118,12930,5986,4310,1550,126,137,0.979,-52,0,2010,36.17283951
Chicago White Sox,39,4.35,0.679,162,1458,1183,13017,6105,4339,1663,103,158,0.983,-41,1,2010,37.04938272
Cincinnati Reds,44,4.23,0.701,162,1458,1079,13077,6039,4359,1608,72,142,0.988,26,0,2010,36.83333333
Cleveland Indians,44,4.64,0.687,162,1458,1189,12897,6223,4299,1814,110,179,0.982,7,0,2010,37.7345679
Colorado Rockies,43,4.43,0.682,162,1458,1075,12978,6134,4326,1707,101,182,0.984,22,0,2010,37.24074074
Detroit Tigers,41,4.59,0.688,162,1458,1069,12999,6110,4333,1668,109,171,0.982,37,1,2010,37.04320988
Florida Marlins,57,4.43,0.681,162,1458,1142,12945,5940,4315,1502,123,130,0.979,-19,0,2010,35.90740741
Houston Astros,48,4.5,0.68,162,1458,1136,12954,6018,4318,1597,103,135,0.983,-52,1,2010,36.51234568
Kansas City Royals,46,5.22,0.679,162,1458,1230,12930,6019,4310,1588,121,138,0.98,-21,0,2010,36.40740741
Los Angeles Angels of Anaheim,46,4.33,0.692,162,1458,1155,13044,6023,4348,1562,113,116,0.981,-37,1,2010,36.48148148
Los Angeles Dodgers,49,4.27,0.697,162,1458,1120,12975,6012,4325,1589,98,124,0.984,2,0,2010,36.50617284
Milwaukee Brewers,43,4.96,0.675,162,1458,1192,12951,5934,4317,1516,101,142,0.983,-37,0,2010,36.00617284
Minnesota Twins,41,4.14,0.69,162,1458,1164,13074,6146,4358,1710,78,150,0.987,0,0,2010,37.45679012
New York Mets,47,4.02,0.691,162,1458,1143,13077,6111,4359,1665,87,159,0.986,31,0,2010,37.18518519
New York Yankees,43,4.28,0.709,162,1458,1082,12981,5918,4327,1522,69,161,0.988,12,0,2010,36.10493827
Oakland Athletics,49,3.86,0.711,162,1458,1122,12885,6098,4295,1704,99,147,0.984,31,0,2010,37.0308642
Philadelphia Phillies,42,3.95,0.698,162,1458,1178,13107,6139,4369,1687,83,158,0.986,25,0,2010,37.38271605
Pittsburgh Pirates,52,5.35,0.671,162,1458,1170,12705,6016,4235,1654,127,120,0.979,-100,0,2010,36.35185185
San Diego Padres,40,3.59,0.703,162,1458,1090,13107,6067,4369,1626,72,141,0.988,38,0,2010,37.00617284
Seattle Mariners,46,4.31,0.705,162,1458,1242,12942,6081,4314,1657,110,145,0.982,28,1,2010,36.85802469
San Francisco Giants,42,3.6,0.707,162,1458,997,13149,5941,4383,1485,73,110,0.988,25,0,2010,36.22222222
St. Louis Cardinals,42,3.96,0.694,162,1458,1038,13083,6332,4361,1872,99,172,0.984,6,0,2010,38.47530864
Tampa Bay Rays,36,4.01,0.709,162,1458,1065,13083,5945,4361,1499,85,134,0.986,34,0,2010,36.17283951
Texas Rangers,48,4.24,0.704,162,1458,1130,13098,5970,4366,1499,105,133,0.982,4,0,2010,36.2037037
Toronto Blue Jays,44,4.49,0.689,162,1458,1183,12966,6105,4322,1691,92,172,0.985,14,1,2010,37.11728395
Washington Nationals,46,4.58,0.684,162,1458,1001,12915,6089,4305,1657,127,148,0.979,-8,0,2010,36.80246914
Arizona Diamondbacks,45,4.83,0.683,162,1458,1131,13029,6073,4343,1606,124,133,0.98,-7,0,2009,36.72222222
Atlanta Braves,45,3.96,0.686,162,1458,1121,13164,6198,4388,1714,96,159,0.985,14,0,2009,37.66666667
Baltimore Orioles,48,5.41,0.68,162,1458,1176,12861,6040,4287,1663,90,151,0.985,-10,0,2009,36.72839506
Boston Red Sox,52,4.54,0.678,162,1458,1126,12930,5844,4310,1452,82,121,0.986,-26,0,2009,35.56790123
Chicago Cubs,45,4.17,0.698,161,1449,1060,13008,6014,4336,1573,105,144,0.983,0,1,2009,36.70186335
Chicago White Sox,44,4.52,0.689,162,1458,1149,12957,6101,4319,1669,113,158,0.981,-40,0,2009,36.96296296
Cincinnati Reds,45,4.46,0.704,162,1458,1118,13125,6060,4375,1596,89,161,0.985,73,0,2009,36.85802469
Cleveland Indians,51,5.34,0.681,162,1458,1189,12906,6050,4302,1651,97,170,0.984,-22,0,2009,36.74691358
Colorado Rockies,45,4.41,0.688,162,1458,1065,12945,6167,4315,1765,87,146,0.986,-14,0,2009,37.5308642
Detroit Tigers,44,4.57,0.694,163,1467,1082,13023,6045,4341,1616,88,164,0.985,35,1,2009,36.54601227
Florida Marlins,44,4.73,0.686,162,1458,1086,13017,5914,4339,1469,106,129,0.982,-10,0,2009,35.85185185
Houston Astros,42,4.75,0.677,162,1458,1147,12870,6087,4290,1719,78,161,0.987,-50,1,2009,37.09259259
Kansas City Royals,43,5.2,0.675,162,1458,1102,12834,5964,4278,1569,117,159,0.98,-58,0,2009,36.09259259
Los Angeles Angels of Anaheim,46,4.7,0.687,162,1458,1159,13005,6043,4335,1623,85,174,0.986,-2,1,2009,36.77777778
Los Angeles Dodgers,46,3.77,0.713,162,1458,1139,13260,6097,4420,1594,83,134,0.986,22,0,2009,37.12345679
Milwaukee Brewers,45,5.05,0.689,162,1458,1165,12915,5993,4305,1590,98,149,0.984,-7,1,2009,36.38888889
Minnesota Twins,41,4.69,0.689,163,1467,1106,13077,6000,4359,1565,76,135,0.987,-38,1,2009,36.34355828
New York Mets,51,4.67,0.693,162,1458,1128,12834,5932,4278,1557,97,134,0.984,9,0,2009,36.01851852
New York Yankees,44,4.65,0.698,162,1458,1024,13050,5929,4350,1493,86,131,0.985,6,0,2009,36.06790123
Oakland Athletics,50,4.7,0.682,162,1458,1116,13026,6039,4342,1592,105,155,0.983,-64,0,2009,36.62962963
Philadelphia Phillies,41,4.38,0.693,162,1458,1196,13101,6000,4367,1557,76,132,0.987,16,0,2009,36.56790123
Pittsburgh Pirates,49,4.77,0.69,161,1449,1237,12765,6094,4255,1766,73,171,0.988,-17,1,2009,37.39751553
San Diego Padres,54,4.75,0.692,162,1458,1161,13056,6012,4352,1566,94,146,0.984,-33,0,2009,36.5308642
Seattle Mariners,46,4.27,0.712,162,1458,1217,13074,5988,4358,1525,105,150,0.982,77,0,2009,36.31481481
San Francisco Giants,44,3.77,0.706,162,1458,1051,13014,5937,4338,1511,88,138,0.985,47,0,2009,36.10493827
St. Louis Cardinals,42,3.95,0.694,162,1458,972,12966,6273,4322,1855,96,167,0.985,35,0,2009,38.12962963
Tampa Bay Rays,41,4.65,0.695,162,1458,1105,12846,5891,4282,1511,98,135,0.983,56,1,2009,35.75925926
Texas Rangers,44,4.57,0.697,162,1458,1219,12912,6013,4304,1603,106,168,0.982,72,0,2009,36.46296296
Toronto Blue Jays,44,4.76,0.681,162,1458,1206,13059,6169,4353,1740,76,168,0.988,13,0,2009,37.61111111
Washington Nationals,55,5.4,0.683,162,1458,1082,12819,6158,4273,1742,143,155,0.977,-18,0,2009,37.12962963
Arizona Diamondbacks,41,4.36,0.685,162,1458,1141,12912,5982,4304,1565,113,137,0.981,-24,0,2008,36.22839506
Atlanta Braves,48,4.8,0.692,162,1458,1147,12966,6220,4322,1791,107,149,0.983,-5,0,2008,37.7345679
Baltimore Orioles,46,5.4,0.687,161,1449,1112,12798,6027,4266,1661,100,163,0.983,-4,0,2008,36.8136646
Boston Red Sox,46,4.28,0.698,162,1458,1092,13017,6021,4339,1597,85,149,0.986,20,1,2008,36.64197531
Chicago Cubs,42,4.17,0.703,161,1449,1046,13056,5896,4352,1445,99,118,0.983,0,0,2008,36.00621118
Chicago White Sox,38,4.47,0.686,163,1467,1110,13119,6211,4373,1730,108,155,0.983,-41,0,2008,37.44171779
Cincinnati Reds,47,4.94,0.671,162,1458,1063,12981,6008,4327,1567,114,156,0.981,-40,0,2008,36.38271605
Cleveland Indians,48,4.7,0.685,162,1458,1156,12933,6094,4311,1689,94,182,0.985,13,0,2008,37.03703704
Colorado Rockies,49,5.07,0.677,162,1458,1123,13014,6250,4338,1816,96,176,0.985,-36,0,2008,37.98765432
Detroit Tigers,46,5.29,0.683,162,1458,1081,13005,6082,4335,1634,113,172,0.981,-18,1,2008,36.84567901
Florida Marlins,44,4.76,0.692,161,1449,1039,12918,5924,4306,1501,117,122,0.98,-6,0,2008,36.06832298
Houston Astros,40,4.61,0.697,161,1449,1111,12828,5939,4276,1596,67,142,0.989,11,0,2008,36.47204969
Kansas City Royals,43,4.82,0.688,162,1458,1076,13011,5981,4337,1548,96,159,0.984,7,0,2008,36.32716049
Los Angeles Angels of Anaheim,41,4.3,0.691,162,1458,1119,13062,6091,4354,1646,91,159,0.985,23,0,2008,37.03703704
Los Angeles Dodgers,46,4,0.69,162,1458,1027,13026,6238,4342,1795,101,138,0.984,26,1,2008,37.88271605
Milwaukee Brewers,42,4.25,0.7,162,1458,1211,13101,6166,4367,1698,101,160,0.984,21,1,2008,37.4382716
Minnesota Twins,39,4.57,0.684,163,1467,1185,13131,6167,4377,1682,108,168,0.982,-23,1,2008,37.17177914
New York Mets,49,4.41,0.699,162,1458,1129,13179,6028,4393,1552,83,126,0.986,9,0,2008,36.69753086
New York Yankees,51,4.49,0.682,162,1458,1095,12975,5994,4325,1586,83,141,0.986,6,0,2008,36.48765432
Oakland Athletics,49,4.29,0.699,161,1449,1059,12915,5976,4305,1573,98,169,0.984,20,0,2008,36.50931677
Philadelphia Phillies,38,4.2,0.695,162,1458,1055,13047,6137,4349,1698,90,142,0.985,39,0,2008,37.32716049
Pittsburgh Pirates,47,5.46,0.675,162,1458,1167,13095,6302,4365,1830,107,179,0.983,-22,0,2008,38.24074074
San Diego Padres,59,4.72,0.694,162,1458,1155,13125,6086,4375,1626,85,149,0.986,-21,0,2008,37.04320988
Seattle Mariners,44,5.01,0.679,162,1458,1158,12918,6059,4306,1654,99,160,0.984,-17,0,2008,36.79012346
San Francisco Giants,47,4.69,0.685,162,1458,1034,12978,5815,4326,1393,96,129,0.983,5,1,2008,35.30246914
St. Louis Cardinals,43,4.48,0.694,162,1458,979,13086,6264,4362,1817,85,156,0.986,44,1,2008,38.14197531
Tampa Bay Rays,45,4.14,0.708,162,1458,1141,13119,5958,4373,1495,90,153,0.985,24,1,2008,36.22222222
Texas Rangers,54,5.97,0.666,162,1458,1115,12978,6134,4326,1676,132,191,0.978,-25,0,2008,37.04938272
Toronto Blue Jays,40,3.77,0.703,162,1458,1154,13020,6123,4340,1699,84,137,0.986,17,0,2008,37.27777778
Washington Nationals,50,5.12,0.686,161,1449,1106,12906,6003,4302,1578,123,143,0.98,-28,0,2008,36.52173913
Arizona Diamondbacks,47,4.52,0.691,162,1458,1089,12969,6064,4323,1635,106,157,0.983,40,0,2007,36.77777778
Atlanta Braves,50,4.52,0.696,162,1458,1118,13107,6133,4369,1657,107,141,0.983,27,0,2007,37.19753086
Baltimore Orioles,49,5.36,0.686,162,1458,1112,12948,6085,4316,1690,79,155,0.987,-8,0,2007,37.07407407
Boston Red Sox,40,4.06,0.704,162,1458,1112,12948,5935,4316,1538,81,145,0.986,76,0,2007,36.13580247
Chicago Cubs,47,4.26,0.704,162,1458,1035,13020,5969,4340,1535,94,134,0.984,52,0,2007,36.2654321
Chicago White Sox,43,5.18,0.68,162,1458,1165,12966,6034,4322,1604,108,168,0.982,-47,0,2007,36.58024691
Cincinnati Reds,50,5.27,0.676,162,1458,1094,13047,5961,4349,1517,95,155,0.984,-48,0,2007,36.20987654
Cleveland Indians,41,4.35,0.685,162,1458,1115,13164,6177,4388,1697,92,167,0.985,3,0,2007,37.5617284
Colorado Rockies,53,4.65,0.701,163,1467,1102,13248,6326,4416,1842,68,180,0.989,79,0,2007,38.39263804
Detroit Tigers,44,4.92,0.69,162,1458,1095,13026,6076,4342,1635,99,148,0.984,8,0,2007,36.89506173
